2022-10-19 10:56:54,745 |     INFO | 192.168.1.144:50388 | READ
2022-10-19 10:58:12,005 |     INFO | 192.168.1.144:50409 | READ
2022-10-19 11:00:35,947 |     INFO | 192.168.1.144:50455 | READ
2022-10-19 11:00:50,805 |     INFO | 192.168.1.144:50460 | READ
2022-10-19 11:01:09,145 |     INFO | 192.168.1.144:50470 | READ
2022-10-19 11:02:41,492 |     INFO | 192.168.1.144:58249 | READ
2022-10-19 11:03:02,704 |     INFO | 192.168.1.144:58258 | READ
2022-10-19 11:04:34,184 |     INFO | 192.168.1.144:58285 | READ
2022-10-19 13:33:01,099 |     INFO | 192.168.1.144:61003 | READ
2022-10-19 13:33:12,205 |     INFO | 192.168.1.144:61009 | READ
2022-10-19 15:12:54,539 |     INFO | 192.168.1.144:55285 | READ
2022-10-19 15:13:08,469 |     INFO | 192.168.1.144:55289 | READ
2022-10-19 17:33:48,834 |     INFO | 192.168.1.144:57100 | READ
2022-10-19 17:33:51,328 |     INFO | 192.168.1.144:57100 | READ
2022-10-19 17:35:44,053 |     INFO | 192.168.1.144:65277 | READ
2022-10-19 17:36:05,118 |     INFO | 192.168.1.144:65287 | READ
2022-10-19 17:37:33,564 |     INFO | 192.168.1.144:65323 | READ
2022-10-19 17:38:11,786 |     INFO | 192.168.1.144:65337 | READ
2022-10-19 17:38:30,353 |     INFO | 192.168.1.144:65345 | READ
2022-10-19 17:39:00,900 |     INFO | 192.168.1.144:57651 | READ
2022-10-19 17:40:03,402 |     INFO | 192.168.1.144:50341 | READ
2022-10-19 17:40:26,403 |     INFO | 192.168.1.144:50350 | READ
2022-10-19 17:40:49,948 |     INFO | 192.168.1.144:50359 | READ
2022-10-19 17:41:09,725 |     INFO | 192.168.1.144:50368 | READ
2022-10-19 17:48:53,052 |     INFO | 192.168.1.144:51674 | READ
2022-10-19 17:48:58,147 |     INFO | 192.168.1.144:51674 | READ
2022-10-19 18:11:20,865 |     INFO | 192.168.1.144:58953 | READ
2022-10-19 18:12:17,334 |     INFO | 192.168.1.144:60459 | READ
2022-10-19 18:12:23,955 |     INFO | 192.168.1.144:60462 | READ
2022-10-19 18:13:38,405 |     INFO | 192.168.1.144:49352 | READ
2022-10-19 19:12:46,083 |     INFO | 192.168.1.144:49886 | READ
2022-10-19 19:13:09,061 |     INFO | 192.168.1.144:62600 | READ
2022-10-19 19:14:03,188 |     INFO | 192.168.1.144:57683 | READ
2022-10-19 20:53:51,291 |     INFO | 192.168.1.144:53641 | READ
2022-10-19 20:53:55,266 |     INFO | 192.168.1.144:53641 | READ
2022-10-19 20:53:56,591 |     INFO | 192.168.1.144:53641 | READ
2022-10-19 20:53:58,156 |     INFO | 192.168.1.144:53641 | READ
2022-10-19 20:54:09,485 |     INFO | 192.168.1.144:53651 | READ
2022-10-19 20:54:21,026 |     INFO | 192.168.1.144:53657 | READ
2022-10-19 21:56:41,505 |     INFO | 192.168.1.144:51516 | READ
2022-10-20 18:14:56,127 |     INFO | 192.168.1.144:62519 | READ
2022-10-20 18:14:59,197 |     INFO | 192.168.1.144:62519 | READ
2022-10-20 18:15:17,601 |     INFO | 192.168.1.144:60836 | READ
2022-10-20 18:15:24,575 |     INFO | 192.168.1.144:60846 | READ
2022-10-20 18:26:06,854 |     INFO | 192.168.1.144:61897 | READ
2022-10-20 18:26:36,712 |     INFO | 192.168.1.144:61903 | READ
2022-10-20 18:27:05,600 |     INFO | 192.168.1.144:53577 | READ
2022-10-20 18:28:06,383 |     INFO | 192.168.1.144:53598 | READ
2022-10-20 18:29:38,806 |     INFO | 192.168.1.144:53630 | READ
2022-10-20 18:31:21,137 |     INFO | 192.168.1.144:53408 | READ
2022-10-20 18:31:57,876 |     INFO | 192.168.1.144:53415 | READ
2022-10-20 18:33:06,902 |     INFO | 192.168.1.144:53439 | READ
2022-10-20 18:33:55,662 |     INFO | 192.168.1.144:53456 | READ
2022-10-20 18:34:24,657 |     INFO | 192.168.1.144:53464 | READ
2022-10-20 18:35:12,052 |     INFO | 192.168.1.144:53487 | READ
2022-10-20 18:35:55,985 |     INFO | 192.168.1.144:53500 | READ
2022-10-20 18:37:53,732 |     INFO | 192.168.1.144:49907 | READ
2022-10-20 18:38:38,666 |     INFO | 192.168.1.144:49920 | READ
2022-10-20 18:40:58,932 |     INFO | 192.168.1.144:49974 | READ
2022-10-20 18:41:29,211 |     INFO | 192.168.1.144:49987 | READ
2022-10-20 18:42:27,664 |     INFO | 192.168.1.144:50006 | READ
2022-10-20 18:44:12,881 |     INFO | 192.168.1.144:54115 | READ
2022-10-20 18:45:30,247 |     INFO | 192.168.1.144:54142 | READ
2022-10-20 18:46:55,081 |     INFO | 192.168.1.144:54170 | READ
2022-10-20 18:47:43,463 |     INFO | 192.168.1.144:54184 | READ
2022-10-20 18:49:05,596 |     INFO | 192.168.1.144:54214 | READ
2022-10-20 18:49:31,101 |     INFO | 192.168.1.144:51949 | READ
2022-10-20 18:55:14,954 |     INFO | 192.168.1.144:57217 | READ
2022-10-20 18:55:55,081 |     INFO | 192.168.1.144:56051 | READ
2022-10-20 18:57:23,480 |     INFO | 192.168.1.144:56077 | READ
2022-10-20 19:00:20,320 |     INFO | 192.168.1.144:56132 | READ
2022-10-20 19:00:49,870 |     INFO | 192.168.1.144:52786 | READ
2022-10-20 19:03:00,540 |     INFO | 192.168.1.144:52830 | READ
2022-10-20 19:05:47,649 |     INFO | 192.168.1.144:52896 | READ
2022-10-20 19:13:11,234 |     INFO | 192.168.1.144:57266 | READ
2022-10-20 19:14:12,384 |     INFO | 192.168.1.144:61254 | READ
2022-10-20 19:16:08,161 |     INFO | 192.168.1.144:61292 | READ
2022-10-20 19:19:55,550 |     INFO | 192.168.1.144:50915 | READ
2022-10-20 19:20:43,693 |     INFO | 192.168.1.144:50933 | READ
2022-10-20 19:21:03,668 |     INFO | 192.168.1.144:50941 | READ
2022-10-20 19:21:28,115 |     INFO | 192.168.1.144:50947 | READ
2022-10-20 19:21:58,437 |     INFO | 192.168.1.144:50958 | READ
2022-10-20 19:23:12,150 |     INFO | 192.168.1.144:50980 | READ
2022-10-20 19:24:17,270 |     INFO | 192.168.1.144:58001 | READ
2022-10-20 19:24:42,885 |     INFO | 192.168.1.144:58015 | READ
2022-10-20 19:25:58,932 |     INFO | 192.168.1.144:53968 | READ
2022-10-20 19:26:20,094 |     INFO | 192.168.1.144:53970 | READ
2022-10-20 19:26:48,722 |     INFO | 192.168.1.144:53984 | READ
2022-10-20 19:27:41,341 |     INFO | 192.168.1.144:54005 | READ
2022-10-20 19:28:10,173 |     INFO | 192.168.1.144:54012 | READ
2022-10-20 19:28:31,879 |     INFO | 192.168.1.144:57771 | READ
2022-10-20 19:28:55,933 |     INFO | 192.168.1.144:57781 | READ
2022-10-20 19:29:20,821 |     INFO | 192.168.1.144:57791 | READ
2022-10-20 19:29:25,327 |     INFO | 192.168.1.144:57791 | READ
2022-10-20 19:29:45,947 |     INFO | 192.168.1.144:57800 | READ
